"index";"time";"minutes";"dateTime";"SPD33.CH1_Voltage";"SPD33.CH1_Current";"SPD33.CH1_Power";"SPD33.CH2_Voltage";"SPD33.CH2_Current";"SPD33.CH2_Power"
357;107,18;1,7863333333;1731490916,61;5;0,58;2,9;0;0;0
358;107,48;1,7913333333;1731490916,912;5;0,58;2,9;0;0;0
359;107,78;1,7963333333;1731490917,211;5;0,57;2,85;0;0;0
360;108,081;1,80135;1731490917,513;5;0,57;2,85;0;0;0
361;108,381;1,80635;1731490917,81;5;0,58;2,9;0;0;0
362;108,68;1,8113333333;1731490918,109;5;0,57;2,85;0;0;0
363;108,981;1,81635;1731490918,408;5;0,57;2,85;0;0;0
364;109,281;1,82135;1731490918,709;5;0,57;2,85;0;0;0
365;109,58;1,8263333333;1731490919,007;5;0,57;2,85;0;0;0
366;109,881;1,83135;1731490919,309;5;0,57;2,85;0;0;0
367;110,187;1,83645;1731490919,617;5;0,57;2,85;0;0;0
368;110,481;1,84135;1731490919,911;5;0,57;2,85;0;0;0
369;110,781;1,84635;1731490920,21;5;0,57;2,85;0;0;0
370;111,082;1,8513666667;1731490920,507;5;0,58;2,9;0;0;0
371;111,38;1,8563333333;1731490920,81;5;0,58;2,9;0;0;0
372;111,681;1,86135;1731490921,11;5;0,58;2,9;0;0;0
373;111,98;1,8663333333;1731490921,407;5;0,57;2,85;0;0;0
374;112,28;1,8713333333;1731490921,711;5;0,58;2,9;0;0;0
375;112,584;1,8764;1731490922,012;5;0,58;2,9;0;0;0
376;112,881;1,88135;1731490922,308;5;0,57;2,85;0;0;0
377;113,18;1,8863333333;1731490922,606;5;0,58;2,9;0;0;0
378;113,48;1,8913333333;1731490922,907;5;0,57;2,85;0;0;0
379;113,782;1,8963666667;1731490923,209;5;0,58;2,9;0;0;0
